"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US19001960100","Census Tract 9601; Adair County; Iowa","2790","205",
"1400000US19001960200","Census Tract 9602; Adair County; Iowa","1699","159",
"1400000US19001960300","Census Tract 9603; Adair County; Iowa","2971","170",
"1400000US19003950100","Census Tract 9501; Adams County; Iowa","1560","129",
"1400000US19003950200","Census Tract 9502; Adams County; Iowa","2062","129",
"1400000US19005960100","Census Tract 9601; Allamakee County; Iowa","1916","241",
"1400000US19005960200","Census Tract 9602; Allamakee County; Iowa","2286","187",
"1400000US19005960300","Census Tract 9603; Allamakee County; Iowa","4166","271",
"1400000US19005960400","Census Tract 9604; Allamakee County; Iowa","2028","183",
"1400000US19005960500","Census Tract 9605; Allamakee County; Iowa","3696","307",
"1400000US19007950100","Census Tract 9501; Appanoose County; Iowa","2401","225",
"1400000US19007950200","Census Tract 9502; Appanoose County; Iowa","1460","163",
"1400000US19007950300","Census Tract 9503; Appanoose County; Iowa","3150","305",
"1400000US19007950400","Census Tract 9504; Appanoose County; Iowa","2904","254",
"1400000US19007950500","Census Tract 9505; Appanoose County; Iowa","2269","305",
"1400000US19009070100","Census Tract 701; Audubon County; Iowa","1815","134",
"1400000US19009070200","Census Tract 702; Audubon County; Iowa","2305","145",
"1400000US19009070300","Census Tract 703; Audubon County; Iowa","1479","126",
"1400000US19011960100","Census Tract 9601; Benton County; Iowa","3020","246",
"1400000US19011960200","Census Tract 9602; Benton County; Iowa","3108","225",
"1400000US19011960300","Census Tract 9603; Benton County; Iowa","5178","158",
"1400000US19011960400","Census Tract 9604; Benton County; Iowa","3175","334",
"1400000US19011960500","Census Tract 9605; Benton County; Iowa","5901","304",
"1400000US19011960600","Census Tract 9606; Benton County; Iowa","2747","194",
"1400000US19011960700","Census Tract 9607; Benton County; Iowa","2595","232",
"1400000US19013000100","Census Tract 1; Black Hawk County; Iowa","1938","199",
"1400000US19013000200","Census Tract 2; Black Hawk County; Iowa","3161","570",
"1400000US19013000300","Census Tract 3; Black Hawk County; Iowa","2694","468",
"1400000US19013000400","Census Tract 4; Black Hawk County; Iowa","1562","228",
"1400000US19013000500","Census Tract 5; Black Hawk County; Iowa","1578","409",
"1400000US19013000700","Census Tract 7; Black Hawk County; Iowa","1267","349",
"1400000US19013000800","Census Tract 8; Black Hawk County; Iowa","3454","540",
"1400000US19013000900","Census Tract 9; Black Hawk County; Iowa","2195","267",
"1400000US19013001000","Census Tract 10; Black Hawk County; Iowa","3661","610",
"1400000US19013001100","Census Tract 11; Black Hawk County; Iowa","2900","380",
"1400000US19013001200","Census Tract 12; Black Hawk County; Iowa","2407","280",
"1400000US19013001301","Census Tract 13.01; Black Hawk County; Iowa","4172","436",
"1400000US19013001302","Census Tract 13.02; Black Hawk County; Iowa","3957","360",
"1400000US19013001400","Census Tract 14; Black Hawk County; Iowa","4627","742",
"1400000US19013001501","Census Tract 15.01; Black Hawk County; Iowa","3233","352",
"1400000US19013001502","Census Tract 15.02; Black Hawk County; Iowa","4011","499",
"1400000US19013001503","Census Tract 15.03; Black Hawk County; Iowa","3659","330",
"1400000US19013001600","Census Tract 16; Black Hawk County; Iowa","2772","502",
