"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US19017004100","Census Tract 41; Bremer County; Iowa","240900","25678",
"1400000US19017004200","Census Tract 42; Bremer County; Iowa","246500","22857",
"1400000US19017004300","Census Tract 43; Bremer County; Iowa","206100","23577",
"1400000US19017004400","Census Tract 44; Bremer County; Iowa","191900","21285",
"1400000US19017004500","Census Tract 45; Bremer County; Iowa","190100","16686",
"1400000US19017004600","Census Tract 46; Bremer County; Iowa","262500","18744",
"1400000US19017004700","Census Tract 47; Bremer County; Iowa","119600","14606",
"1400000US19019950100","Census Tract 9501; Buchanan County; Iowa","140600","9990",
"1400000US19019950200","Census Tract 9502; Buchanan County; Iowa","204700","28413",
"1400000US19019950300","Census Tract 9503; Buchanan County; Iowa","193600","15064",
"1400000US19019950400","Census Tract 9504; Buchanan County; Iowa","169000","13838",
"1400000US19019950500","Census Tract 9505; Buchanan County; Iowa","170800","13481",
"1400000US19019950600","Census Tract 9506; Buchanan County; Iowa","186200","28631",
"1400000US19021960100","Census Tract 9601; Buena Vista County; Iowa","101300","8232",
"1400000US19021960200","Census Tract 9602; Buena Vista County; Iowa","111900","9551",
"1400000US19021960300","Census Tract 9603; Buena Vista County; Iowa","149800","14454",
"1400000US19021960400","Census Tract 9604; Buena Vista County; Iowa","174800","36083",
"1400000US19021960500","Census Tract 9605; Buena Vista County; Iowa","167700","22823",
"1400000US19021960600","Census Tract 9606; Buena Vista County; Iowa","191800","22151",
"1400000US19023070100","Census Tract 701; Butler County; Iowa","167000","9298",
"1400000US19023070200","Census Tract 702; Butler County; Iowa","97900","16684",
"1400000US19023070300","Census Tract 703; Butler County; Iowa","127400","14825",
"1400000US19023070400","Census Tract 704; Butler County; Iowa","199000","14918",
"1400000US19023070500","Census Tract 705; Butler County; Iowa","181000","20471",
"1400000US19025950100","Census Tract 9501; Calhoun County; Iowa","164000","14092",
"1400000US19025950200","Census Tract 9502; Calhoun County; Iowa","87000","6871",
"1400000US19025950300","Census Tract 9503; Calhoun County; Iowa","118600","21185",
"1400000US19025950400","Census Tract 9504; Calhoun County; Iowa","120200","11578",
"1400000US19027960100","Census Tract 9601; Carroll County; Iowa","201600","23223",
"1400000US19027960200","Census Tract 9602; Carroll County; Iowa","172300","31474",
"1400000US19027960300","Census Tract 9603; Carroll County; Iowa","199300","22641",
"1400000US19027960400","Census Tract 9604; Carroll County; Iowa","160300","13723",
"1400000US19027960500","Census Tract 9605; Carroll County; Iowa","149300","14438",
"1400000US19027960600","Census Tract 9606; Carroll County; Iowa","136300","8664",
"1400000US19029190100","Census Tract 1901; Cass County; Iowa","157000","11852",
"1400000US19029190200","Census Tract 1902; Cass County; Iowa","115900","19678",
"1400000US19029190300","Census Tract 1903; Cass County; Iowa","168800","37700",
"1400000US19029190400","Census Tract 1904; Cass County; Iowa","157600","13006",
"1400000US19029190500","Census Tract 1905; Cass County; Iowa","120300","34121",
"1400000US19031450100","Census Tract 4501; Cedar County; Iowa","173300","24850",
"1400000US19031450200","Census Tract 4502; Cedar County; Iowa","187600","14525",
"1400000US19031450300","Census Tract 4503; Cedar County; Iowa","175600","26451",
"1400000US19031450400","Census Tract 4504; Cedar County; Iowa","204000","19112",
"1400000US19031450500","Census Tract 4505; Cedar County; Iowa","275800","37231",
"1400000US19033950102","Census Tract 9501.02; Cerro Gordo County; Iowa","122400","9893",
"1400000US19033950201","Census Tract 9502.01; Cerro Gordo County; Iowa","168500","40043",
"1400000US19033950202","Census Tract 9502.02; Cerro Gordo County; Iowa","134400","20418",
"1400000US19033950300","Census Tract 9503; Cerro Gordo County; Iowa","124700","28783",
"1400000US19033950402","Census Tract 9504.02; Cerro Gordo County; Iowa","107900","6567",
"1400000US19033950600","Census Tract 9506; Cerro Gordo County; Iowa","227700","32789",
"1400000US19033950700","Census Tract 9507; Cerro Gordo County; Iowa","230700","50157",
"1400000US19033950800","Census Tract 9508; Cerro Gordo County; Iowa","306400","62953",
"1400000US19033950900","Census Tract 9509; Cerro Gordo County; Iowa","334200","57980",
"1400000US19033951000","Census Tract 9510; Cerro Gordo County; Iowa","150900","22741",
"1400000US19033951400","Census Tract 9514; Cerro Gordo County; Iowa","291400","28968",
"1400000US19033951600","Census Tract 9516; Cerro Gordo County; Iowa","160600","10338",
"1400000US19035080101","Census Tract 801.01; Cherokee County; Iowa","124800","97078",
"1400000US19035080102","Census Tract 801.02; Cherokee County; Iowa","126100","40620",
"1400000US19035080200","Census Tract 802; Cherokee County; Iowa","203200","16337",
"1400000US19035080300","Census Tract 803; Cherokee County; Iowa","150600","30106",
"1400000US19035080400","Census Tract 804; Cherokee County; Iowa","145500","16878",
"1400000US19037070100","Census Tract 701; Chickasaw County; Iowa","210000","28442",
"1400000US19037070200","Census Tract 702; Chickasaw County; Iowa","151000","21488",
"1400000US19037070300","Census Tract 703; Chickasaw County; Iowa","198300","30632",
"1400000US19037070400","Census Tract 704; Chickasaw County; Iowa","178100","34148",
"1400000US19039960100","Census Tract 9601; Clarke County; Iowa","145800","34557",
"1400000US19039960200","Census Tract 9602; Clarke County; Iowa","225300","52134",
"1400000US19039960300","Census Tract 9603; Clarke County; Iowa","177500","42396",
"1400000US19041080100","Census Tract 801; Clay County; Iowa","184600","26244",
"1400000US19041080200","Census Tract 802; Clay County; Iowa","144700","10846",
"1400000US19041080301","Census Tract 803.01; Clay County; Iowa","239200","21350",
"1400000US19041080302","Census Tract 803.02; Clay County; Iowa","228700","60230",
"1400000US19041080400","Census Tract 804; Clay County; Iowa","150800","16588",
"1400000US19043070100","Census Tract 701; Clayton County; Iowa","188000","24274",
"1400000US19043070200","Census Tract 702; Clayton County; Iowa","157800","9453",
"1400000US19043070300","Census Tract 703; Clayton County; Iowa","161500","9742",
"1400000US19043070400","Census Tract 704; Clayton County; Iowa","201500","30452",
"1400000US19043070500","Census Tract 705; Clayton County; Iowa","183300","39940",
"1400000US19043070600","Census Tract 706; Clayton County; Iowa","137000","18716",
"1400000US19045000100","Census Tract 1; Clinton County; Iowa","72500","13099",
"1400000US19045000200","Census Tract 2; Clinton County; Iowa","75700","7910",
"1400000US19045000300","Census Tract 3; Clinton County; Iowa","89200","8827",
"1400000US19045000400","Census Tract 4; Clinton County; Iowa","170200","21414",
"1400000US19045000500","Census Tract 5; Clinton County; Iowa","170100","17744",
"1400000US19045000600","Census Tract 6; Clinton County; Iowa","111500","9432",
